Scenario,"miss_pct [0, 1]",Evaluated: et,mean,hyperimpute,missforest,gain,sinkhorn
MAR,0.1,0.0104 +/- 0.0019,0.0478 +/- 0.0041,0.0108 +/- 0.003,0.0233 +/- 0.0029,0.0313 +/- 0.0073,0.012 +/- 0.0012
MAR,0.2,0.0195 +/- 0.0062,0.0814 +/- 0.0147,0.018 +/- 0.0047,0.0361 +/- 0.0105,0.0536 +/- 0.0199,0.0262 +/- 0.0036
MAR,0.3,0.0331 +/- 0.0067,0.1344 +/- 0.0137,0.0289 +/- 0.0062,0.0657 +/- 0.0139,0.0938 +/- 0.018,0.0424 +/- 0.0105
MAR,0.4,0.0354 +/- 0.0076,0.1554 +/- 0.0312,0.0643 +/- 0.0165,0.0661 +/- 0.0158,0.1038 +/- 0.0443,0.0512 +/- 0.0104
MAR,0.5,0.0357 +/- 0.0102,0.1787 +/- 0.0221,0.0696 +/- 0.0194,0.0675 +/- 0.0138,0.1365 +/- 0.03,0.0456 +/- 0.0088
MCAR,0.1,0.0146 +/- 0.0015,0.066 +/- 0.0054,0.0181 +/- 0.0026,0.0289 +/- 0.0045,0.044 +/- 0.0057,0.0168 +/- 0.002
MCAR,0.2,0.0328 +/- 0.0041,0.1421 +/- 0.0081,0.0373 +/- 0.0155,0.0649 +/- 0.0051,0.0793 +/- 0.0079,0.0336 +/- 0.0048
MCAR,0.3,0.0516 +/- 0.0036,0.215 +/- 0.0067,0.061 +/- 0.0227,0.098 +/- 0.0036,0.1242 +/- 0.0128,0.0464 +/- 0.005
MCAR,0.4,0.0743 +/- 0.0078,0.276 +/- 0.0137,0.1178 +/- 0.0148,0.1183 +/- 0.0128,0.1671 +/- 0.0213,0.0661 +/- 0.0041
MCAR,0.5,0.0991 +/- 0.01,0.3475 +/- 0.0252,0.1529 +/- 0.0083,0.1442 +/- 0.0064,0.2301 +/- 0.0286,0.0748 +/- 0.0053
MNAR,0.1,0.0146 +/- 0.0018,0.0722 +/- 0.0032,0.0244 +/- 0.0056,0.0304 +/- 0.0026,0.0517 +/- 0.0111,0.0191 +/- 0.0006
MNAR,0.2,0.0385 +/- 0.0037,0.1523 +/- 0.0067,0.033 +/- 0.0048,0.068 +/- 0.0045,0.0903 +/- 0.01,0.045 +/- 0.0077
MNAR,0.3,0.0558 +/- 0.0048,0.2249 +/- 0.0154,0.0448 +/- 0.0055,0.0976 +/- 0.0092,0.1595 +/- 0.0321,0.0557 +/- 0.0051
MNAR,0.4,0.0744 +/- 0.0086,0.2775 +/- 0.0046,0.1056 +/- 0.0069,0.1092 +/- 0.0063,0.2305 +/- 0.0495,0.0627 +/- 0.0084
MNAR,0.5,0.0949 +/- 0.0039,0.341 +/- 0.0175,0.1451 +/- 0.0137,0.1329 +/- 0.0138,0.5559 +/- 0.0801,0.1032 +/- 0.0101
